Symbol_LaTeX,Symbol_Display,Category,Math_Name,Basic_Translation,Medium_Translation,Academic_Translation,Info_Theory_Equiv,Context_Notes,First_Appears,,
\gamma^\mu,γ^μ,Matrices,gamma superscript mu,the Dirac gamma matrix,"gamma superscript mu, Dirac matrix","gamma with upper index mu, 4x4 matrix",Spinor coupling structure,Connects spinor components,Paper 5,,
q^2,q²,Variables,q squared,the momentum transfer squared,"q squared, four-momentum transfer","q squared, Mandelstam variable",Energy-momentum exchanged,Scattering hardness measure,Paper 5,,
\frac{d\sigma}{d\Omega},dσ/dΩ,Differentials,d sigma d Omega,the scattering cross-section,"d sigma d Omega, differential cross-section",differential scattering cross-section per solid angle,Probability per angle,Measured in experiments,Paper 5,,
\Psi_0,Ψ_0,Constants,Psi zero,the baseline soul field,"Psi sub zero, minimum field value","Psi subscript zero, vacuum baseline",Background consciousness,Universal minimum,Paper 5,,
a(k),a(k),Operators,a of k,annihilation operator,"a of k, destroys a particle","annihilation operator, removes quantum from state",Removes information from system,Lowers particle number by 1,Paper 5,,
a^\dagger(k),a†(k),Operators,a dagger of k,creation operator,"a dagger of k, creates a particle","creation operator, adds quantum to state",Adds information to system,Raises particle number by 1,Paper 5,,
\chi_{\mu\nu},χ_μν,Tensors,chi mu nu,the consciousness-information coupling tensor,"chi mu nu, information stress tensor","chi subscript mu nu, consciousness-information coupling tensor",Information contribution to spacetime curvature,Represents how Logos Field affects geometry,Paper 1,,
\mathcal{C}[\chi],𝓒[χ],Functionals,script C,the coherence functional,"script C of chi, coherence functional","coherence functional, action integral over chi field",Total coherence = ∫ Fisher information,Measures total system coherence,Paper 1,,
g^{\mu\nu},g^μν,Tensors,g superscript mu nu,the inverse metric,"g superscript mu nu, inverse metric tensor",contravariant metric tensor components,Dual to covariant metric,Used to raise indices,Paper 1,,
g_{\mu\nu},g_μν,Tensors,g mu nu,the metric,"g_μν, spacetime metric","g_μν, metric tensor with signature (-,+,+,+)",Geometry of spacetime,Defines distances and angles,Paper 1,,
G_{\mu\nu},G_μν,Tensors,G mu nu,spacetime curvature,"G mu nu, Einstein tensor","G subscript mu nu, Einstein curvature tensor",Encodes total information density,Left side of Einstein equations,Paper 1,,
T_{\mu\nu},T_μν,Tensors,T mu nu,stress-energy,"T mu nu, stress-energy tensor","T subscript mu nu, matter and energy content",Information density of matter/energy,Right side of Einstein equations,Paper 1,,
V(\chi),V(χ),Functions,V of chi,the self-interaction potential,"V of chi, potential energy function","V(χ), scalar potential for Logos Field",Potential well in information landscape,How field interacts with itself,Paper 1,,
\mathcal{L}_{int},𝓛_int,Lagrangians,script L interaction,the interaction term,"script L interaction, coupling Lagrangian",interaction Lagrangian density,Mutual information between fields,How chi couples to quantum fields psi,Paper 1,,
c,c,Constants,c,the speed of light,"c, light speed constant","c = 299,792,458 meters per second",,Universal constant,Multiple,,
\hbar,ℏ,Constants,h-bar,Planck's constant,"h-bar, reduced Planck constant",h-bar = 1.054 × 10^-34 joule seconds,,"Quantum scale, ℏ = h/2π",Multiple,,
G_N,G_N,Constants,G sub N,Newton's constant,"G_N, gravitational constant",G_N = 6.674 × 10^-11 SI units,,"Gravity strength, subscript distinguishes from Grace",Multiple,,
\pi,π,Constants,pi,pi,"pi, approximately 3.14159","pi, the circle constant",,Usually just say 'pi',Multiple,,
i,i,Constants,i,the imaginary unit,"i, square root of negative one","i, the imaginary unit",,"Complex numbers, i² = -1",Multiple,,
\ell_P,ℓ_P,Constants,ell sub P,the Planck length,"ell sub P, Planck length scale","Planck length, 1.616 × 10^-35 meters",Minimum information pixel size,"√(ℏG/c³), quantum gravity scale",Multiple,,
k_B,k_B,Constants,k sub B,Boltzmann's constant,"k sub B, Boltzmann constant","Boltzmann constant, 1.381 × 10^-23 J/K",Converts temperature to information units,Links thermodynamics to information,Multiple,,
(2\pi)^3,(2π)³,Constants,two pi cubed,the normalization factor,"two pi cubed, momentum normalization","two pi to the third power, box normalization",Phase space volume element,Makes Fourier transform unitary,Paper 5,,
X_\mu,X_μ,Notation,subscript,X sub mu,X subscript mu,X with lower index mu,,Specify the subscript (covariant index),Multiple,,
X^\mu,X^μ,Notation,superscript,X upper mu,X superscript mu,X with upper index mu,,Distinguish from exponents (contravariant),Multiple,,
\frac{a}{b},a/b,Notation,fraction,a divided by b,a over b,the ratio of a to b,,Use 'over' for clarity in speech,Multiple,,
X^2,X²,Notation,exponent,X squared,X to the power of 2,X raised to the second power,,Specify power,Multiple,,
\dot{X},Ẋ,Notation,dot,X dot,time derivative of X,"dX/dt, first time derivative",,Rate of change,Multiple,,
\ddot{X},Ẍ,Notation,double dot,X double dot,second time derivative,"d²X/dt², second time derivative",,Acceleration,Multiple,,
X',X',Notation,prime,X prime,derivative of X,first derivative with respect to argument,,Context dependent,Multiple,,
\bar{X},X̄,Notation,bar,X bar,average of X OR complex conjugate,mean value OR conjugate,,CONTEXT CRITICAL,Multiple,,
\tilde{X},X̃,Notation,tilde,X tilde,"X tilde, transformed quantity",rescaled or Fourier-transformed X,,Modified version,Multiple,,
e^{-ik\cdot x},e^(-ik·x),Functions,exponential,the plane wave,exponential of negative i k dot x,exponential of minus i times k dot x,Wave propagation,Standard QFT mode,Paper 5,,
e^{ik\cdot x},e^(ik·x),Functions,exponential conjugate,the conjugate plane wave,exponential of positive i k dot x,exponential of plus i times k dot x,Backward-propagating wave,Completes mode expansion,Paper 5,,
\text{h.c.},h.c.,Notation,hermitian conjugate,plus its complex conjugate,"h.c., hermitian conjugate","hermitian conjugate, complex conjugate transpose",Ensures field is real,Add conjugate terms,Paper 5,,
